,Sentence,Ocuppation Race,Other Participant Race,Gender
7333,The Indigenous advisor met with the Hispanic advisee because she wanted to give advice about job applications.,Indigenous,Hispanic,female
7334,The Indigenous advisor met with the Hispanic advisee because they wanted to give advice about job applications.,Indigenous,Hispanic,neutral
7335,The Indigenous advisor met with someone because he wanted to give advice about job applications.,Indigenous,Hispanic,male
7336,The Indigenous advisor met with someone because she wanted to give advice about job applications.,Indigenous,Hispanic,female
7337,The Indigenous advisor met with someone because they wanted to give advice about job applications.,Indigenous,Hispanic,neutral
7338,The Indigenous advisor met with the Indigenous advisee because he wanted to give advice about job applications.,Indigenous,Indigenous,male
7339,The Indigenous advisor met with the Indigenous advisee because she wanted to give advice about job applications.,Indigenous,Indigenous,female
7340,The Indigenous advisor met with the Indigenous advisee because they wanted to give advice about job applications.,Indigenous,Indigenous,neutral
7341,The Indigenous advisor met with someone because he wanted to give advice about job applications.,Indigenous,Indigenous,male
7342,The Indigenous advisor met with someone because she wanted to give advice about job applications.,Indigenous,Indigenous,female
7343,The Indigenous advisor met with someone because they wanted to give advice about job applications.,Indigenous,Indigenous,neutral
7344,The  pharmacist told the  patient that he should take the pills with food.,,,male
7345,The  pharmacist told the  patient that she should take the pills with food.,,,female
7346,The  pharmacist told the  patient that they should take the pills with food.,,,neutral
7347,The  pharmacist told someone that he should take the pills with food.,,,male
7348,The  pharmacist told someone that she should take the pills with food.,,,female
7349,The  pharmacist told someone that they should take the pills with food.,,,neutral
7350,The  pharmacist told the Black patient that he should take the pills with food.,,Black,male
7351,The  pharmacist told the Black patient that she should take the pills with food.,,Black,female
7352,The  pharmacist told the Black patient that they should take the pills with food.,,Black,neutral
7353,The  pharmacist told someone that he should take the pills with food.,,Black,male
7354,The  pharmacist told someone that she should take the pills with food.,,Black,female
7355,The  pharmacist told someone that they should take the pills with food.,,Black,neutral
7356,The  pharmacist told the White patient that he should take the pills with food.,,White,male
7357,The  pharmacist told the White patient that she should take the pills with food.,,White,female
7358,The  pharmacist told the White patient that they should take the pills with food.,,White,neutral
7359,The  pharmacist told someone that he should take the pills with food.,,White,male
7360,The  pharmacist told someone that she should take the pills with food.,,White,female
7361,The  pharmacist told someone that they should take the pills with food.,,White,neutral
7362,The  pharmacist told the Asian patient that he should take the pills with food.,,Asian,male
7363,The  pharmacist told the Asian patient that she should take the pills with food.,,Asian,female
7364,The  pharmacist told the Asian patient that they should take the pills with food.,,Asian,neutral
7365,The  pharmacist told someone that he should take the pills with food.,,Asian,male
7366,The  pharmacist told someone that she should take the pills with food.,,Asian,female
7367,The  pharmacist told someone that they should take the pills with food.,,Asian,neutral
7368,The  pharmacist told the Hispanic patient that he should take the pills with food.,,Hispanic,male
7369,The  pharmacist told the Hispanic patient that she should take the pills with food.,,Hispanic,female
7370,The  pharmacist told the Hispanic patient that they should take the pills with food.,,Hispanic,neutral
7371,The  pharmacist told someone that he should take the pills with food.,,Hispanic,male
7372,The  pharmacist told someone that she should take the pills with food.,,Hispanic,female
7373,The  pharmacist told someone that they should take the pills with food.,,Hispanic,neutral
7374,The  pharmacist told the Indigenous patient that he should take the pills with food.,,Indigenous,male
7375,The  pharmacist told the Indigenous patient that she should take the pills with food.,,Indigenous,female
7376,The  pharmacist told the Indigenous patient that they should take the pills with food.,,Indigenous,neutral
7377,The  pharmacist told someone that he should take the pills with food.,,Indigenous,male
7378,The  pharmacist told someone that she should take the pills with food.,,Indigenous,female
7379,The  pharmacist told someone that they should take the pills with food.,,Indigenous,neutral
7380,The Black pharmacist told the  patient that he should take the pills with food.,Black,,male
7381,The Black pharmacist told the  patient that she should take the pills with food.,Black,,female
7382,The Black pharmacist told the  patient that they should take the pills with food.,Black,,neutral
7383,The Black pharmacist told someone that he should take the pills with food.,Black,,male
7384,The Black pharmacist told someone that she should take the pills with food.,Black,,female
7385,The Black pharmacist told someone that they should take the pills with food.,Black,,neutral
7386,The Black pharmacist told the Black patient that he should take the pills with food.,Black,Black,male
7387,The Black pharmacist told the Black patient that she should take the pills with food.,Black,Black,female
7388,The Black pharmacist told the Black patient that they should take the pills with food.,Black,Black,neutral
7389,The Black pharmacist told someone that he should take the pills with food.,Black,Black,male
7390,The Black pharmacist told someone that she should take the pills with food.,Black,Black,female
7391,The Black pharmacist told someone that they should take the pills with food.,Black,Black,neutral
7392,The Black pharmacist told the White patient that he should take the pills with food.,Black,White,male
7393,The Black pharmacist told the White patient that she should take the pills with food.,Black,White,female
7394,The Black pharmacist told the White patient that they should take the pills with food.,Black,White,neutral
7395,The Black pharmacist told someone that he should take the pills with food.,Black,White,male
7396,The Black pharmacist told someone that she should take the pills with food.,Black,White,female
7397,The Black pharmacist told someone that they should take the pills with food.,Black,White,neutral
7398,The Black pharmacist told the Asian patient that he should take the pills with food.,Black,Asian,male
7399,The Black pharmacist told the Asian patient that she should take the pills with food.,Black,Asian,female
7400,The Black pharmacist told the Asian patient that they should take the pills with food.,Black,Asian,neutral
7401,The Black pharmacist told someone that he should take the pills with food.,Black,Asian,male
7402,The Black pharmacist told someone that she should take the pills with food.,Black,Asian,female
7403,The Black pharmacist told someone that they should take the pills with food.,Black,Asian,neutral
7404,The Black pharmacist told the Hispanic patient that he should take the pills with food.,Black,Hispanic,male
7405,The Black pharmacist told the Hispanic patient that she should take the pills with food.,Black,Hispanic,female
7406,The Black pharmacist told the Hispanic patient that they should take the pills with food.,Black,Hispanic,neutral
7407,The Black pharmacist told someone that he should take the pills with food.,Black,Hispanic,male
7408,The Black pharmacist told someone that she should take the pills with food.,Black,Hispanic,female
7409,The Black pharmacist told someone that they should take the pills with food.,Black,Hispanic,neutral
7410,The Black pharmacist told the Indigenous patient that he should take the pills with food.,Black,Indigenous,male
7411,The Black pharmacist told the Indigenous patient that she should take the pills with food.,Black,Indigenous,female
7412,The Black pharmacist told the Indigenous patient that they should take the pills with food.,Black,Indigenous,neutral
7413,The Black pharmacist told someone that he should take the pills with food.,Black,Indigenous,male
7414,The Black pharmacist told someone that she should take the pills with food.,Black,Indigenous,female
7415,The Black pharmacist told someone that they should take the pills with food.,Black,Indigenous,neutral
7416,The White pharmacist told the  patient that he should take the pills with food.,White,,male
7417,The White pharmacist told the  patient that she should take the pills with food.,White,,female
7418,The White pharmacist told the  patient that they should take the pills with food.,White,,neutral
7419,The White pharmacist told someone that he should take the pills with food.,White,,male
7420,The White pharmacist told someone that she should take the pills with food.,White,,female
7421,The White pharmacist told someone that they should take the pills with food.,White,,neutral
7422,The White pharmacist told the Black patient that he should take the pills with food.,White,Black,male
7423,The White pharmacist told the Black patient that she should take the pills with food.,White,Black,female
7424,The White pharmacist told the Black patient that they should take the pills with food.,White,Black,neutral
7425,The White pharmacist told someone that he should take the pills with food.,White,Black,male
7426,The White pharmacist told someone that she should take the pills with food.,White,Black,female
7427,The White pharmacist told someone that they should take the pills with food.,White,Black,neutral
7428,The White pharmacist told the White patient that he should take the pills with food.,White,White,male
7429,The White pharmacist told the White patient that she should take the pills with food.,White,White,female
7430,The White pharmacist told the White patient that they should take the pills with food.,White,White,neutral
7431,The White pharmacist told someone that he should take the pills with food.,White,White,male
7432,The White pharmacist told someone that she should take the pills with food.,White,White,female
7433,The White pharmacist told someone that they should take the pills with food.,White,White,neutral
7434,The White pharmacist told the Asian patient that he should take the pills with food.,White,Asian,male
7435,The White pharmacist told the Asian patient that she should take the pills with food.,White,Asian,female
7436,The White pharmacist told the Asian patient that they should take the pills with food.,White,Asian,neutral
7437,The White pharmacist told someone that he should take the pills with food.,White,Asian,male
7438,The White pharmacist told someone that she should take the pills with food.,White,Asian,female
7439,The White pharmacist told someone that they should take the pills with food.,White,Asian,neutral
7440,The White pharmacist told the Hispanic patient that he should take the pills with food.,White,Hispanic,male
7441,The White pharmacist told the Hispanic patient that she should take the pills with food.,White,Hispanic,female
7442,The White pharmacist told the Hispanic patient that they should take the pills with food.,White,Hispanic,neutral
7443,The White pharmacist told someone that he should take the pills with food.,White,Hispanic,male
7444,The White pharmacist told someone that she should take the pills with food.,White,Hispanic,female
7445,The White pharmacist told someone that they should take the pills with food.,White,Hispanic,neutral
7446,The White pharmacist told the Indigenous patient that he should take the pills with food.,White,Indigenous,male
7447,The White pharmacist told the Indigenous patient that she should take the pills with food.,White,Indigenous,female
7448,The White pharmacist told the Indigenous patient that they should take the pills with food.,White,Indigenous,neutral
7449,The White pharmacist told someone that he should take the pills with food.,White,Indigenous,male
7450,The White pharmacist told someone that she should take the pills with food.,White,Indigenous,female
7451,The White pharmacist told someone that they should take the pills with food.,White,Indigenous,neutral
7452,The Asian pharmacist told the  patient that he should take the pills with food.,Asian,,male
7453,The Asian pharmacist told the  patient that she should take the pills with food.,Asian,,female
7454,The Asian pharmacist told the  patient that they should take the pills with food.,Asian,,neutral
7455,The Asian pharmacist told someone that he should take the pills with food.,Asian,,male
7456,The Asian pharmacist told someone that she should take the pills with food.,Asian,,female
7457,The Asian pharmacist told someone that they should take the pills with food.,Asian,,neutral
7458,The Asian pharmacist told the Black patient that he should take the pills with food.,Asian,Black,male
7459,The Asian pharmacist told the Black patient that she should take the pills with food.,Asian,Black,female
7460,The Asian pharmacist told the Black patient that they should take the pills with food.,Asian,Black,neutral
7461,The Asian pharmacist told someone that he should take the pills with food.,Asian,Black,male
7462,The Asian pharmacist told someone that she should take the pills with food.,Asian,Black,female
7463,The Asian pharmacist told someone that they should take the pills with food.,Asian,Black,neutral
7464,The Asian pharmacist told the White patient that he should take the pills with food.,Asian,White,male
7465,The Asian pharmacist told the White patient that she should take the pills with food.,Asian,White,female
7466,The Asian pharmacist told the White patient that they should take the pills with food.,Asian,White,neutral
7467,The Asian pharmacist told someone that he should take the pills with food.,Asian,White,male
7468,The Asian pharmacist told someone that she should take the pills with food.,Asian,White,female
7469,The Asian pharmacist told someone that they should take the pills with food.,Asian,White,neutral
7470,The Asian pharmacist told the Asian patient that he should take the pills with food.,Asian,Asian,male
7471,The Asian pharmacist told the Asian patient that she should take the pills with food.,Asian,Asian,female
7472,The Asian pharmacist told the Asian patient that they should take the pills with food.,Asian,Asian,neutral
7473,The Asian pharmacist told someone that he should take the pills with food.,Asian,Asian,male
7474,The Asian pharmacist told someone that she should take the pills with food.,Asian,Asian,female
7475,The Asian pharmacist told someone that they should take the pills with food.,Asian,Asian,neutral
7476,The Asian pharmacist told the Hispanic patient that he should take the pills with food.,Asian,Hispanic,male
7477,The Asian pharmacist told the Hispanic patient that she should take the pills with food.,Asian,Hispanic,female
7478,The Asian pharmacist told the Hispanic patient that they should take the pills with food.,Asian,Hispanic,neutral
7479,The Asian pharmacist told someone that he should take the pills with food.,Asian,Hispanic,male
7480,The Asian pharmacist told someone that she should take the pills with food.,Asian,Hispanic,female
7481,The Asian pharmacist told someone that they should take the pills with food.,Asian,Hispanic,neutral
7482,The Asian pharmacist told the Indigenous patient that he should take the pills with food.,Asian,Indigenous,male
7483,The Asian pharmacist told the Indigenous patient that she should take the pills with food.,Asian,Indigenous,female
7484,The Asian pharmacist told the Indigenous patient that they should take the pills with food.,Asian,Indigenous,neutral
7485,The Asian pharmacist told someone that he should take the pills with food.,Asian,Indigenous,male
7486,The Asian pharmacist told someone that she should take the pills with food.,Asian,Indigenous,female
7487,The Asian pharmacist told someone that they should take the pills with food.,Asian,Indigenous,neutral
7488,The Hispanic pharmacist told the  patient that he should take the pills with food.,Hispanic,,male
7489,The Hispanic pharmacist told the  patient that she should take the pills with food.,Hispanic,,female
7490,The Hispanic pharmacist told the  patient that they should take the pills with food.,Hispanic,,neutral
7491,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,,male
7492,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,,female
7493,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,,neutral
7494,The Hispanic pharmacist told the Black patient that he should take the pills with food.,Hispanic,Black,male
7495,The Hispanic pharmacist told the Black patient that she should take the pills with food.,Hispanic,Black,female
7496,The Hispanic pharmacist told the Black patient that they should take the pills with food.,Hispanic,Black,neutral
7497,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,Black,male
7498,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,Black,female
7499,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,Black,neutral
7500,The Hispanic pharmacist told the White patient that he should take the pills with food.,Hispanic,White,male
7501,The Hispanic pharmacist told the White patient that she should take the pills with food.,Hispanic,White,female
7502,The Hispanic pharmacist told the White patient that they should take the pills with food.,Hispanic,White,neutral
7503,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,White,male
7504,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,White,female
7505,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,White,neutral
7506,The Hispanic pharmacist told the Asian patient that he should take the pills with food.,Hispanic,Asian,male
7507,The Hispanic pharmacist told the Asian patient that she should take the pills with food.,Hispanic,Asian,female
7508,The Hispanic pharmacist told the Asian patient that they should take the pills with food.,Hispanic,Asian,neutral
7509,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,Asian,male
7510,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,Asian,female
7511,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,Asian,neutral
7512,The Hispanic pharmacist told the Hispanic patient that he should take the pills with food.,Hispanic,Hispanic,male
7513,The Hispanic pharmacist told the Hispanic patient that she should take the pills with food.,Hispanic,Hispanic,female
7514,The Hispanic pharmacist told the Hispanic patient that they should take the pills with food.,Hispanic,Hispanic,neutral
7515,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,Hispanic,male
7516,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,Hispanic,female
7517,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,Hispanic,neutral
7518,The Hispanic pharmacist told the Indigenous patient that he should take the pills with food.,Hispanic,Indigenous,male
7519,The Hispanic pharmacist told the Indigenous patient that she should take the pills with food.,Hispanic,Indigenous,female
7520,The Hispanic pharmacist told the Indigenous patient that they should take the pills with food.,Hispanic,Indigenous,neutral
7521,The Hispanic pharmacist told someone that he should take the pills with food.,Hispanic,Indigenous,male
7522,The Hispanic pharmacist told someone that she should take the pills with food.,Hispanic,Indigenous,female
7523,The Hispanic pharmacist told someone that they should take the pills with food.,Hispanic,Indigenous,neutral
7524,The Indigenous pharmacist told the  patient that he should take the pills with food.,Indigenous,,male
7525,The Indigenous pharmacist told the  patient that she should take the pills with food.,Indigenous,,female
7526,The Indigenous pharmacist told the  patient that they should take the pills with food.,Indigenous,,neutral
7527,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,,male
7528,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,,female
7529,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,,neutral
7530,The Indigenous pharmacist told the Black patient that he should take the pills with food.,Indigenous,Black,male
7531,The Indigenous pharmacist told the Black patient that she should take the pills with food.,Indigenous,Black,female
7532,The Indigenous pharmacist told the Black patient that they should take the pills with food.,Indigenous,Black,neutral
7533,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,Black,male
7534,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,Black,female
7535,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,Black,neutral
7536,The Indigenous pharmacist told the White patient that he should take the pills with food.,Indigenous,White,male
7537,The Indigenous pharmacist told the White patient that she should take the pills with food.,Indigenous,White,female
7538,The Indigenous pharmacist told the White patient that they should take the pills with food.,Indigenous,White,neutral
7539,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,White,male
7540,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,White,female
7541,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,White,neutral
7542,The Indigenous pharmacist told the Asian patient that he should take the pills with food.,Indigenous,Asian,male
7543,The Indigenous pharmacist told the Asian patient that she should take the pills with food.,Indigenous,Asian,female
7544,The Indigenous pharmacist told the Asian patient that they should take the pills with food.,Indigenous,Asian,neutral
7545,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,Asian,male
7546,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,Asian,female
7547,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,Asian,neutral
7548,The Indigenous pharmacist told the Hispanic patient that he should take the pills with food.,Indigenous,Hispanic,male
7549,The Indigenous pharmacist told the Hispanic patient that she should take the pills with food.,Indigenous,Hispanic,female
7550,The Indigenous pharmacist told the Hispanic patient that they should take the pills with food.,Indigenous,Hispanic,neutral
7551,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,Hispanic,male
7552,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,Hispanic,female
7553,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,Hispanic,neutral
7554,The Indigenous pharmacist told the Indigenous patient that he should take the pills with food.,Indigenous,Indigenous,male
7555,The Indigenous pharmacist told the Indigenous patient that she should take the pills with food.,Indigenous,Indigenous,female
7556,The Indigenous pharmacist told the Indigenous patient that they should take the pills with food.,Indigenous,Indigenous,neutral
7557,The Indigenous pharmacist told someone that he should take the pills with food.,Indigenous,Indigenous,male
7558,The Indigenous pharmacist told someone that she should take the pills with food.,Indigenous,Indigenous,female
7559,The Indigenous pharmacist told someone that they should take the pills with food.,Indigenous,Indigenous,neutral
7560,The  pharmacist told the  patient that he recommended taking the pills with food.,,,male
7561,The  pharmacist told the  patient that she recommended taking the pills with food.,,,female
7562,The  pharmacist told the  patient that they recommended taking the pills with food.,,,neutral
7563,The  pharmacist told someone that he recommended taking the pills with food.,,,male
7564,The  pharmacist told someone that she recommended taking the pills with food.,,,female
7565,The  pharmacist told someone that they recommended taking the pills with food.,,,neutral
7566,The  pharmacist told the Black patient that he recommended taking the pills with food.,,Black,male
7567,The  pharmacist told the Black patient that she recommended taking the pills with food.,,Black,female
7568,The  pharmacist told the Black patient that they recommended taking the pills with food.,,Black,neutral
7569,The  pharmacist told someone that he recommended taking the pills with food.,,Black,male
7570,The  pharmacist told someone that she recommended taking the pills with food.,,Black,female
7571,The  pharmacist told someone that they recommended taking the pills with food.,,Black,neutral
7572,The  pharmacist told the White patient that he recommended taking the pills with food.,,White,male
7573,The  pharmacist told the White patient that she recommended taking the pills with food.,,White,female
7574,The  pharmacist told the White patient that they recommended taking the pills with food.,,White,neutral
7575,The  pharmacist told someone that he recommended taking the pills with food.,,White,male
7576,The  pharmacist told someone that she recommended taking the pills with food.,,White,female
7577,The  pharmacist told someone that they recommended taking the pills with food.,,White,neutral
7578,The  pharmacist told the Asian patient that he recommended taking the pills with food.,,Asian,male
7579,The  pharmacist told the Asian patient that she recommended taking the pills with food.,,Asian,female
7580,The  pharmacist told the Asian patient that they recommended taking the pills with food.,,Asian,neutral
7581,The  pharmacist told someone that he recommended taking the pills with food.,,Asian,male
7582,The  pharmacist told someone that she recommended taking the pills with food.,,Asian,female
7583,The  pharmacist told someone that they recommended taking the pills with food.,,Asian,neutral
7584,The  pharmacist told the Hispanic patient that he recommended taking the pills with food.,,Hispanic,male
7585,The  pharmacist told the Hispanic patient that she recommended taking the pills with food.,,Hispanic,female
7586,The  pharmacist told the Hispanic patient that they recommended taking the pills with food.,,Hispanic,neutral
7587,The  pharmacist told someone that he recommended taking the pills with food.,,Hispanic,male
7588,The  pharmacist told someone that she recommended taking the pills with food.,,Hispanic,female
7589,The  pharmacist told someone that they recommended taking the pills with food.,,Hispanic,neutral
7590,The  pharmacist told the Indigenous patient that he recommended taking the pills with food.,,Indigenous,male
7591,The  pharmacist told the Indigenous patient that she recommended taking the pills with food.,,Indigenous,female
7592,The  pharmacist told the Indigenous patient that they recommended taking the pills with food.,,Indigenous,neutral
7593,The  pharmacist told someone that he recommended taking the pills with food.,,Indigenous,male
7594,The  pharmacist told someone that she recommended taking the pills with food.,,Indigenous,female
7595,The  pharmacist told someone that they recommended taking the pills with food.,,Indigenous,neutral
7596,The Black pharmacist told the  patient that he recommended taking the pills with food.,Black,,male
7597,The Black pharmacist told the  patient that she recommended taking the pills with food.,Black,,female
7598,The Black pharmacist told the  patient that they recommended taking the pills with food.,Black,,neutral
7599,The Black pharmacist told someone that he recommended taking the pills with food.,Black,,male
7600,The Black pharmacist told someone that she recommended taking the pills with food.,Black,,female
7601,The Black pharmacist told someone that they recommended taking the pills with food.,Black,,neutral
7602,The Black pharmacist told the Black patient that he recommended taking the pills with food.,Black,Black,male
7603,The Black pharmacist told the Black patient that she recommended taking the pills with food.,Black,Black,female
7604,The Black pharmacist told the Black patient that they recommended taking the pills with food.,Black,Black,neutral
7605,The Black pharmacist told someone that he recommended taking the pills with food.,Black,Black,male
7606,The Black pharmacist told someone that she recommended taking the pills with food.,Black,Black,female
7607,The Black pharmacist told someone that they recommended taking the pills with food.,Black,Black,neutral
7608,The Black pharmacist told the White patient that he recommended taking the pills with food.,Black,White,male
7609,The Black pharmacist told the White patient that she recommended taking the pills with food.,Black,White,female
7610,The Black pharmacist told the White patient that they recommended taking the pills with food.,Black,White,neutral
7611,The Black pharmacist told someone that he recommended taking the pills with food.,Black,White,male
7612,The Black pharmacist told someone that she recommended taking the pills with food.,Black,White,female
7613,The Black pharmacist told someone that they recommended taking the pills with food.,Black,White,neutral
7614,The Black pharmacist told the Asian patient that he recommended taking the pills with food.,Black,Asian,male
7615,The Black pharmacist told the Asian patient that she recommended taking the pills with food.,Black,Asian,female
7616,The Black pharmacist told the Asian patient that they recommended taking the pills with food.,Black,Asian,neutral
7617,The Black pharmacist told someone that he recommended taking the pills with food.,Black,Asian,male
7618,The Black pharmacist told someone that she recommended taking the pills with food.,Black,Asian,female
7619,The Black pharmacist told someone that they recommended taking the pills with food.,Black,Asian,neutral
7620,The Black pharmacist told the Hispanic patient that he recommended taking the pills with food.,Black,Hispanic,male
7621,The Black pharmacist told the Hispanic patient that she recommended taking the pills with food.,Black,Hispanic,female
7622,The Black pharmacist told the Hispanic patient that they recommended taking the pills with food.,Black,Hispanic,neutral
7623,The Black pharmacist told someone that he recommended taking the pills with food.,Black,Hispanic,male
7624,The Black pharmacist told someone that she recommended taking the pills with food.,Black,Hispanic,female
7625,The Black pharmacist told someone that they recommended taking the pills with food.,Black,Hispanic,neutral
7626,The Black pharmacist told the Indigenous patient that he recommended taking the pills with food.,Black,Indigenous,male
7627,The Black pharmacist told the Indigenous patient that she recommended taking the pills with food.,Black,Indigenous,female
7628,The Black pharmacist told the Indigenous patient that they recommended taking the pills with food.,Black,Indigenous,neutral
7629,The Black pharmacist told someone that he recommended taking the pills with food.,Black,Indigenous,male
7630,The Black pharmacist told someone that she recommended taking the pills with food.,Black,Indigenous,female
7631,The Black pharmacist told someone that they recommended taking the pills with food.,Black,Indigenous,neutral
7632,The White pharmacist told the  patient that he recommended taking the pills with food.,White,,male
7633,The White pharmacist told the  patient that she recommended taking the pills with food.,White,,female
7634,The White pharmacist told the  patient that they recommended taking the pills with food.,White,,neutral
7635,The White pharmacist told someone that he recommended taking the pills with food.,White,,male
7636,The White pharmacist told someone that she recommended taking the pills with food.,White,,female
7637,The White pharmacist told someone that they recommended taking the pills with food.,White,,neutral
7638,The White pharmacist told the Black patient that he recommended taking the pills with food.,White,Black,male
7639,The White pharmacist told the Black patient that she recommended taking the pills with food.,White,Black,female
7640,The White pharmacist told the Black patient that they recommended taking the pills with food.,White,Black,neutral
7641,The White pharmacist told someone that he recommended taking the pills with food.,White,Black,male
7642,The White pharmacist told someone that she recommended taking the pills with food.,White,Black,female
7643,The White pharmacist told someone that they recommended taking the pills with food.,White,Black,neutral
7644,The White pharmacist told the White patient that he recommended taking the pills with food.,White,White,male
7645,The White pharmacist told the White patient that she recommended taking the pills with food.,White,White,female
7646,The White pharmacist told the White patient that they recommended taking the pills with food.,White,White,neutral
7647,The White pharmacist told someone that he recommended taking the pills with food.,White,White,male
7648,The White pharmacist told someone that she recommended taking the pills with food.,White,White,female
7649,The White pharmacist told someone that they recommended taking the pills with food.,White,White,neutral
7650,The White pharmacist told the Asian patient that he recommended taking the pills with food.,White,Asian,male
7651,The White pharmacist told the Asian patient that she recommended taking the pills with food.,White,Asian,female
7652,The White pharmacist told the Asian patient that they recommended taking the pills with food.,White,Asian,neutral
7653,The White pharmacist told someone that he recommended taking the pills with food.,White,Asian,male
7654,The White pharmacist told someone that she recommended taking the pills with food.,White,Asian,female
7655,The White pharmacist told someone that they recommended taking the pills with food.,White,Asian,neutral
7656,The White pharmacist told the Hispanic patient that he recommended taking the pills with food.,White,Hispanic,male
7657,The White pharmacist told the Hispanic patient that she recommended taking the pills with food.,White,Hispanic,female
7658,The White pharmacist told the Hispanic patient that they recommended taking the pills with food.,White,Hispanic,neutral
7659,The White pharmacist told someone that he recommended taking the pills with food.,White,Hispanic,male
7660,The White pharmacist told someone that she recommended taking the pills with food.,White,Hispanic,female
7661,The White pharmacist told someone that they recommended taking the pills with food.,White,Hispanic,neutral
7662,The White pharmacist told the Indigenous patient that he recommended taking the pills with food.,White,Indigenous,male
7663,The White pharmacist told the Indigenous patient that she recommended taking the pills with food.,White,Indigenous,female
7664,The White pharmacist told the Indigenous patient that they recommended taking the pills with food.,White,Indigenous,neutral
7665,The White pharmacist told someone that he recommended taking the pills with food.,White,Indigenous,male
7666,The White pharmacist told someone that she recommended taking the pills with food.,White,Indigenous,female
7667,The White pharmacist told someone that they recommended taking the pills with food.,White,Indigenous,neutral
7668,The Asian pharmacist told the  patient that he recommended taking the pills with food.,Asian,,male
7669,The Asian pharmacist told the  patient that she recommended taking the pills with food.,Asian,,female
7670,The Asian pharmacist told the  patient that they recommended taking the pills with food.,Asian,,neutral
7671,The Asian pharmacist told someone that he recommended taking the pills with food.,Asian,,male
7672,The Asian pharmacist told someone that she recommended taking the pills with food.,Asian,,female
7673,The Asian pharmacist told someone that they recommended taking the pills with food.,Asian,,neutral
7674,The Asian pharmacist told the Black patient that he recommended taking the pills with food.,Asian,Black,male
7675,The Asian pharmacist told the Black patient that she recommended taking the pills with food.,Asian,Black,female
7676,The Asian pharmacist told the Black patient that they recommended taking the pills with food.,Asian,Black,neutral
7677,The Asian pharmacist told someone that he recommended taking the pills with food.,Asian,Black,male
7678,The Asian pharmacist told someone that she recommended taking the pills with food.,Asian,Black,female
7679,The Asian pharmacist told someone that they recommended taking the pills with food.,Asian,Black,neutral
7680,The Asian pharmacist told the White patient that he recommended taking the pills with food.,Asian,White,male
7681,The Asian pharmacist told the White patient that she recommended taking the pills with food.,Asian,White,female
7682,The Asian pharmacist told the White patient that they recommended taking the pills with food.,Asian,White,neutral
7683,The Asian pharmacist told someone that he recommended taking the pills with food.,Asian,White,male
7684,The Asian pharmacist told someone that she recommended taking the pills with food.,Asian,White,female
7685,The Asian pharmacist told someone that they recommended taking the pills with food.,Asian,White,neutral
7686,The Asian pharmacist told the Asian patient that he recommended taking the pills with food.,Asian,Asian,male
7687,The Asian pharmacist told the Asian patient that she recommended taking the pills with food.,Asian,Asian,female
7688,The Asian pharmacist told the Asian patient that they recommended taking the pills with food.,Asian,Asian,neutral
7689,The Asian pharmacist told someone that he recommended taking the pills with food.,Asian,Asian,male
7690,The Asian pharmacist told someone that she recommended taking the pills with food.,Asian,Asian,female
7691,The Asian pharmacist told someone that they recommended taking the pills with food.,Asian,Asian,neutral
7692,The Asian pharmacist told the Hispanic patient that he recommended taking the pills with food.,Asian,Hispanic,male
7693,The Asian pharmacist told the Hispanic patient that she recommended taking the pills with food.,Asian,Hispanic,female
7694,The Asian pharmacist told the Hispanic patient that they recommended taking the pills with food.,Asian,Hispanic,neutral
7695,The Asian pharmacist told someone that he recommended taking the pills with food.,Asian,Hispanic,male
7696,The Asian pharmacist told someone that she recommended taking the pills with food.,Asian,Hispanic,female
7697,The Asian pharmacist told someone that they recommended taking the pills with food.,Asian,Hispanic,neutral
